Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|11/08/2001|GOLDEN CORRAL|LINCOLN, NE|DINNER FOR PAXTON/OGALLA STATE VOLLEYBALL TEAMS|500.09|0||0|2120
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2003|11/08/2001|GOLDEN CORRAL|LINCOLN, NE|DINNER FOR PAXTON/OGALLA STATE VOLLEYBALL TEAMS|0|1|09/09/2002|500.09|2121
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2003|12/31/2001|PHIL ERDMAN||2001 MILEAGE (2000 MILES DRIVEN)|0|1|09/09/2002|690|2121
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2003|12/30/2002|PHIL ERDMAN||2002 TRAVEL MILEAGE|1630|0||0|2121
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2003|12/31/2002|PHIL ERDMAN||CELL PHONE|500|0||0|2121
ERDMAN FOR LEGISLATURE|99CAC00429|01/29/2004|12/31/2002|PHIL ERDMAN||CELL PHONE|0|1|10/31/2003|500|2122
ERDMAN FOR LEGISLATURE|99CAC00429|01/29/2004|12/30/2002|PHIL ERDMAN||2002 TRAVEL MILEAGE|0|1|10/31/2003|1630|2122
ERDMAN FOR LEGISLATURE|99CAC00429|01/29/2004|12/31/2003|PHIL ERDMAN||2003 TRAVEL MILEAGE|2460|0||0|2122
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|HOLMSTEDT, BOB                |16331 ELM ST                                      |PAYROLL                                           |6500||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|KANGIOR, MIKE                 |3810 KRUG AVE                                     |PAYROLL                                           |1200||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|NELSON, KEELI                 |10317 MADISON ST                                  |PAYROLL                                           |720||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|WOMACK, DENNIS                |2125 SPENCER ST                                   |PAYROLL                                           |950.1||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|PAYCHEX                       |11128 JOHN GALT BLVD STE 25                       |EMPLOYER PORTION OF INCOME TAX                    |540.86||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|FLETCHER & ROWLEY CONSULTIN   |818 18TH AVE S, NASHVILLE TN                      |CAMPAIGN CONSULTING SERVICES                      |10000||||2964
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|CARTER, RICK                  |                                                  |PAYROLL                                           |2000||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|CLAUSEN, LEE                  |                                                  |PAYROLL                                           |1000||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|HOLMSTEDT, BOB                |                                                  |PAYROLL                                           |2500||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|KANGOIR, MIKE                 |                                                  |PAYROLL                                           |2000||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|NELSON, KEELI                 |                                                  |PAYROLL                                           |1200||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|WOMACK, DENNIS                |                                                  |PAYROLL                                           |1583.5||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|PAYCHEX                       |                                                  |EMPLOYER PORTION OF INCOME TAX                    |1163.65||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|GOLDENROD PRINTING            |                                                  |PRINTING OF CAMPAIGN SUPPLIES                     |2460.15||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|05/07/2002|04/29/2002|GREENWALD, JESSICA            |                                                  |PAYROLL                                           |1500||||2965
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|10/01/2002|DAVID CAIN                    |8809 WALNUT COURT                                 |PAYROLL                                           |300||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|10/01/2002|RICK CARTER                   |5028 MARTIN                                       |PAYROLL                                           |2000||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|10/01/2002|MIKE KANGIOR                  |3810 KRUG                                         |PAYROLL                                           |2000||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|10/01/2002|KIM MCLAUGHLIN                |4731 S. 60TH                                      |PAYROLL                                           |800||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|10/01/2002|PAYCHEX                       |11128 JOHN GALT BLVD                              |TAX WITHOLDINGS/SERVICE FEES                      |437.45||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|09/15/2002|GOLDENROD PRINTING            |2801 CORNHUSKER HWY                               |PRINTING                                          |7769.67||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|09/15/2002|COX COMMUNICATIONS            |11505 W. DODGE RD                                 |PHONE AND INTERNET                                |943.39||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/08/2002|09/15/2002|OFFICE DEPOT                  |P O BOX 633211                                    |OFFICE SUPPLIES                                   |253.12||||2967
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|10/30/2002|09/27/2002|GOLDENROD PRINTING            |                                                  |PRINTING                                          |6424.47||||2968
HOWARD HAWKS FOR REGENT|99CAC00582|04/12/2002|03/07/2002|MAXWELL & MILDER              |13202 N RIVER DR                                  |CONSULTING                                        |9000||||2972
HOWARD HAWKS FOR REGENT|99CAC00582|06/25/2002|06/01/2002|MAXWELL & MILDER              |                                                  |CONSULTING                                        |12580||||2974
HOWARD HAWKS FOR REGENT|99CAC00582|10/25/2002|10/21/2002|MAXWELL AND MILDER            |13202 N. RIVER DR                                 |CONSULTING                                        |18046.75||||2976
TONY OJEDA FOR LEGISLATURE|99CAC00583|04/16/2002|04/01/2002|ON YOUR MARKS                 |                                                  |PAMPHLETS                                         |266.25||||2980
TONY OJEDA FOR LEGISLATURE|99CAC00583|04/16/2002|04/09/2002|ON YOUR MARKS                 |                                                  |YARD SIGNS                                        |2798.49||||2980
AGENA FOR COUNTY ASSESSOR / REGISTER OF DEEDS|99CAC00587|06/25/2002|06/01/2002|ASAP PRINT SVCS               |5012 BUNKER HILL RD                               |POSTCARDS, MAILHOUSE SVC, PHOTO, POSTAGE          |2618.6||||3019
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|04/12/2002|02/28/2002|ANDERSON PARTNERS             |1650 FARNAM 1010                                  |PRINTING                                          |300.47|1|04/26/2002||3025
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|04/12/2002|03/13/2002|CURZON PROMOTIONAL GRAPHICS   |1013 S 75TH ST                                    |POLITICAL YARD SIGNS                              |1375||||3025
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|05/07/2002|04/29/2002|OMAHA MAIL                    |                                                  |POSTAGE                                           |2148.49|1|04/30/2002||2759
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|05/07/2002|03/13/2002|CURZON PROMOTIONAL GRAPHICS   |1013 S 75TH ST                                    |POLITICAL YARD SIGNS                              |1375||||2759
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|05/07/2002|03/22/2002|ANDERSON PARTNERS             |1650 FARNAM ST                                    |CAMPAIGN BUTTONS                                  |205.01||||2759
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|04/15/2002|03/28/2002|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |MATERIAL, PRINTING, POSTAGE                       |284.36||||2763
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|04/15/2002|04/09/2002|HOPPE & ASSOC                 |2801 CORNHUSKER                                   |CAMPAIGN CONSULTING                               |800||||2763
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|05/02/2002|04/24/2002|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |PRINTING MATERIAL, POSTAGE                        |379.35||||2764
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|05/02/2002|04/28/2002|GOLDENROD PRINTING            |                                                  |PRINTING MATERIAL, POSTAGE                        |222.59||||2764
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|05/02/2002|04/25/2002|ARJAY ADVERTISING INC         |PO BOX 81037                                      |PRINTING                                          |270.62||||2764
ROBIN HENDRICKSEN FOR COUNTY ASSESSOR|99CAC00589|10/28/2002|10/21/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |479.17||||2767
SUE KIRKLAND FOR CLERK OF THE DISTRICT COURT|99CAC00592|01/14/2003|11/05/2002|ASAP PRINTING                 |                                                  |PRINTING                                          |1645.03||||3093
JAY VAVRICEK FOR MAYOR (CITY OF GRAND ISLAND)|99CAC00593|04/12/2002|03/19/2002|RASMUSSEN & ASSOC             |215 E 3RD, PO BOX 596                             |YARD SIGNS                                        |2658.03||||3096
JAY VAVRICEK FOR MAYOR (CITY OF GRAND ISLAND)|99CAC00593|05/06/2002|04/24/2002|RN CONCESSIONS                |PO BOX 126                                        |FOOD & DRINK                                      |352.11||||3097
JAY VAVRICEK FOR MAYOR (CITY OF GRAND ISLAND)|99CAC00593|05/06/2002|04/28/2002|TILLER, LARA                  |714 NORTH 48TH, OMAHA                             |LAYOUT, DESIGN & ARTWORK                          |794||||3097
JAY VAVRICEK FOR MAYOR (CITY OF GRAND ISLAND)|99CAC00593|05/06/2002|04/26/2002|RASMUSSEN & ASSOC             |PO BOX 596                                        |AGENCY DESIGN, PRODUCTION, CONSULTING             |2685||||3097
JAY VAVRICEK FOR MAYOR (CITY OF GRAND ISLAND)|99CAC00593|05/06/2002|04/29/2002|BEHLEN PRODUCTIONS            |4201 PROGRESSIVE AVE                              |AD VOICE OVERS & PRODUCTION                       |674.41||||3097
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|04/15/2002|03/19/2002|ADVERTISING & SUPPLY          |7630 CASS ST, OMAHA                               |YARD SIGNS & 3X5 FIELD POSTERS                    |2376.82||||3104
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|05/06/2002|04/29/2002|BIBA, DAVE                    |610 N 11TH ST, GENEVA                             |REIMBURSEMENT FOR WEBSITE PYMT                    |285.4||||3105
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|05/06/2002|04/29/2002|BIBA, DAVE                    |610 N 11TH ST, GENEVA                             |REIMBURSEMENT FOR YARD SIGNS/POSTERS              |2376.82||||3105
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|05/06/2002|04/29/2002|FAIRBURY JOURNAL NEWS         |1810 HARLAN ST                                    |ADS TO RUN MAY 1 & MAY 8                          |368.55||||3105
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|06/24/2002|04/29/2002|BIBA, DAVE                    |610 N 11TH ST, GENEVA                             |REIMBURSEMENT FOR AMT PD FOR YARD SIGNS           |2376.82||||3106
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|06/24/2002|06/10/2002|LAMAR COMPANIES               |1840 CUSHMAN                                      |BILLBOARD ADS                                     |1130||||3106
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|10/08/2002|04/29/2002|DAVE BIBA                     |610 N. 11TH                                       |YARD SIGNS/FIELD POSTER                           |2376.82||||3107
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|10/29/2002|04/29/2002|DAVE BIBA                     |                                                  |YARD SIGN/FIELD POSTER                            |2376.82||||3108
DAVE BIBA FOR LEGISLATURE DISTRICT 32|99CAC00594|10/29/2002|10/14/2002|REDSTONE COMMUNICATIONS       |                                                  |ADVERTISING                                       |3993||||3108
CAMPAIGN TO ELECT DR ROBERT J WICHT GOVERNOR|99CAC00596|05/02/2002|04/29/2002|GI INDEPENDENT                |422 W 1ST                                         |ADVERTISING                                       |1339.75||||3119
MURRAY FOR MAYOR|99CAC00601|05/07/2002|04/24/2002|GOLDENROD PRINTING            |                                                  |ARTWORK FOR BROCHURE/PRINTING                     |2096.99||||3036
MURRAY FOR MAYOR|99CAC00601|05/07/2002|04/26/2002|AUGUILAR PRINTING             |                                                  |YARDSIGNS                                         |684.04||||3036
BECK FOR CITY COUNCIL|99CAC00641|06/16/2003|06/01/2003|THE PHILIP M YOUNG CO         |                                                  |CONSULTING                                        |1032.19||||3338
ELMSHAEUSER FOR LEGISLATURE|07CAC01051|02/04/2008|12/14/2007|NE PRINTWORKS||POSTCARDS|73.66|0||0|4761
SENG FOR MAYOR|99CAC00642|03/11/2003|02/13/2003|DECISION RESEARCH             |                                                  |POLLING                                           |12116.04||||3341
SENG FOR MAYOR|99CAC00642|03/31/2003|02/13/2003|DECISION RESEARCH             |4301 CONNECTICUT AVE NW STE 436 WASHINGTON DC     |POLLING                                           |12116.04||||3342
SENG FOR MAYOR|99CAC00642|04/29/2003|02/13/2003|DECISION RESEARCH             |4301 CONNECTICUT AVE, WASHINGTON, D.C.            |POLLING                                           |7116.04||||3343
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|04/12/2006|02/28/2006|VICTORY ENTERPRISES||SURVEY|2000||03/01/2006|0|4158
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|05/03/2006|04/10/2006|VICTORY ENTERPRISE||AD CREATION AND PRODUCTION|0|1|04/10/2006|2130|4243
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|11/08/2006|HAYES, JASON||CONSULTING, POSTAGE|0|1|03/07/2007|1000.75|5738
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|11/08/2006|KOLTERMAN, JESSICA||CONSULTING|0|1|04/17/2007|3000|5738
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION|99CAC00149|01/31/2008|06/29/2007|CLEAR COMMUNICATIONS||CONSULTING AND PROFESSIONAL SERVICES CONTRACT|50000|0||0|5608
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|01/30/2008|04/23/2002|ANDERSON|||0|1|06/02/2002|2066.8|6938
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|05/07/2002|04/23/2002|ANDERSON|||0|1|04/23/2002|2066.8|2759
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|05/07/2002|04/25/2002|ANDERSON|||4133.6|||0|2759
SENG FOR MAYOR|99CAC00642|06/20/2003|02/13/2003|DECISION RESEARCH             |4301 CONNECTICUT AVE NW WASHINGTON DC             |POLLING                                           |5616.04||||3344
PAT SHANNON FOR LEGISLATURE COMMITTEE|99CAC00645|02/03/2004|05/14/2003|PAT SHANNON                   |                                                  |FILING FEE/MEALS/CONSULTLING/RENT                 |1131.29||||3351
PAT SHANNON FOR LEGISLATURE COMMITTEE|99CAC00645|04/12/2004|04/01/2004|PAT SHANNON                   |                                                  |FILING FEE/MEALS/MEMBERSHIP/FUNDRAISING/WARDROBE/B|1131.29||||3352
PAT SHANNON FOR LEGISLATURE COMMITTEE|99CAC00645|05/04/2004|04/01/2004|PAT SHANNON                   |3417 E. DUTCHMAN CIRCLE; BELLEVUE, NE             |REIMBURSE MISC. EXPENSES                          |1131.29||||3353
PAT SHANNON FOR LEGISLATURE COMMITTEE|99CAC00645|06/21/2004|06/21/2004|PAT SHANNON                   |BELLEVUE, NE                                      |FILIING FEE, MEALS, MEMBERSHIPS, CONSULTANTS, BOX |1131.29||||3354
MIKE FLOOD FOR LEGISLATURE|99CAC00647|01/29/2004|12/31/2003|FLOOD COMMUNICATIONS, LLC     |214 N. 7TH ST. STE. 1 NORFOLK, NE                 |POSTAGE AND SUPPLIES                              |2779.83|1|04/01/2004||3359
ZEIGER FOR LEGISLATURE|99CAC00652|10/25/2004|10/13/2004|WRITETIME COMMUNICATIONS      |                                                  |POSTCARDS,DESIGN,WRITE & COORDINATE ADS           |3844.22||||3378
BRUMBAUGH FOR LEGISLATURE|99CAC00658|06/21/2004|05/11/2004|KIRK BRUMBAUGH                |                                                  |STIPEND TO CAMPAIGN WORKERS                       |670||||3391
COMMITTEE TO ELECT MARK GUSTAFSON|99CAC00660|04/09/2004|03/24/2004|GOLDENROD PRINT & MAIL        |2801 CORNHUSKER HWY; LINCOLN, NE                  |CAMPAIGN SIGNS AND BROCHURES                      |2500||||3399
DONLAN FOR COUNTY COMMISSIONER|99CAC00661|04/13/2004|04/06/2004|GOLDENROD PRINTING            |2801 CORNHUSKER HWY. LINCOLN, NE                  |PRINTING & ARTWORK                                |487.92||||3649
DONLAN FOR COUNTY COMMISSIONER|99CAC00661|06/18/2004|06/04/2004|PIONEER PROMOTIONS            |9270 PIONEER COURT                                |T-SHIRTS                                          |134.56||||3651
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|01/30/2008|12/31/2007|ANDERSON|||0|1|12/31/2007|6200.4|6938
TOM BAKER FOR DISTRICT #66 SCHOOL BOARD|99CAC00588|01/30/2008|12/31/2007|ANDERSON|||0|1|12/31/2007|6200.4|6938
CRYSTAL RHOADES FOR METRO COLLEGE BOARD|06CAC00864|02/04/2008|11/15/2006|GOLDENROD PRINTING||MAILER AND PRINTED MATERIALS|0|1|12/31/2007|961|4763
MARVIN FOR CITY COUNCIL|99CAC00715|03/28/2005|02/28/2005|GOLDENROD PRINT & MAIL|2801 CORNHUSKER HWY, LINCOLN|PRINTING|0|1|03/11/2007|5448.59|3278
BRUNING FOR ATTORNEY GENERAL|99CAC00562|01/16/2007|10/11/2006|NORTHWEST AIRLINES|7500 AIRLINE DR MINNEAPOLIS MN 55450|THIRD PARTY PAID  AIRFARE|0|1|12/31/2006|300.2|4836
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|JOEY & KAY CROCKER            |                                                  |BONUS FOR CAMPAIGN MANAGER                        |0|1|07/13/2001|1000|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|CURZON ADVERTISING            |                                                  |SIGNAGE                                           |0|1|07/03/2001|3168.38|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|LAMAR ADVERTISING             |                                                  |BILLBOARDS                                        |0|1|07/03/2001|1600|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|OMAHA LEGAL COPIES            |                                                  |MAILHOUSE                                         |0|1|07/03/2001|2408.23|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|MELISSA ECKBERG               |                                                  |BONUS FOR FUNDRAISER                              |0|1|07/03/2001|100|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|STEVE SUNDE                   |                                                  |BONUS FOR FIELD PERSON                            |0|1|07/03/2001|100|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|WELCH LAW FIRM                |                                                  |REIMBURSE FOR PHONE EXPENSE                       |0|1|07/03/2001|413.36|2841
DAN WELCH FOR CITY COUNCIL|99CAC00548|02/04/2002|06/15/2001|JEFF HARRISON                 |                                                  |BONUS FOR FIELD COORDINATOR                       |0|1|07/03/2001|150|2841
COMMITTEE TO ELECT RICK GALUSHA|99CAC00664|05/04/2004|04/28/2004|EDITECH, INC                  |                                                  |RECORDING RADIO AD                                |313||||3668
COMMITTEE TO ELECT RICK GALUSHA|99CAC00664|05/04/2004|04/28/2004|THE READER                    |5015 UNDERWOOD AVE. OMAHA, NE                     |ADVERTISING                                       |285||||3668
COMMITTEE TO ELECT RICK GALUSHA|99CAC00664|05/04/2004|04/27/2004|CLEARY & ASSOCIATES           |724 BIRDIE LANE; ESTES PARK, CO                   |VOICE TALENT FOR RADIO SPOT, PURCHASE OF RADIO AD |126.5||||3668
COMMITTEE TO ELECT RICK GALUSHA|99CAC00664|05/04/2004|04/27/2004|CLEARY & ASSOCIATES           |724 BIRDIE LANE, ESTES PARK                       |KGOR-FM                                           |1800||||3668
